data,data2,set temp,p,i,d
23.822717,24.867333,25.1,3.0,2.0,0.0
23.820611,24.867089,25.1,3.0,2.0,0.0
23.82293,24.867089,25.1,3.0,2.0,0.0
23.822076,24.866662,25.1,3.0,2.0,0.0
23.822686,24.86651,25.1,3.0,2.0,0.0
23.822686,24.86654,25.1,3.0,2.0,0.0
23.822686,24.868096,25.1,3.0,2.0,0.0
23.821313,24.868096,25.1,3.0,2.0,0.0
23.821313,24.866265,25.1,3.0,2.0,0.0
23.822595,24.867028,25.1,3.0,2.0,0.0
23.822595,24.867578,25.1,3.0,2.0,0.0
23.822167,24.868707,25.1,3.0,2.0,0.0
23.823114,24.868707,25.1,3.0,2.0,0.0
23.823571,24.866815,25.1,3.0,2.0,0.0
23.823205,24.866448,25.1,3.0,2.0,0.0
23.823205,24.868554,25.1,3.0,2.0,0.0
23.8229,24.866448,25.1,3.0,2.0,0.0
23.822534,24.866448,25.1,3.0,2.0,0.0
23.824487,24.867547,25.1,3.0,2.0,0.0
23.824151,24.868798,25.1,3.0,2.0,0.0
23.824151,24.867089,25.1,3.0,2.0,0.0
23.823358,24.869073,25.1,3.0,2.0,0.0
23.825128,24.869073,25.1,3.0,2.0,0.0
23.824121,24.867089,25.1,3.0,2.0,0.0
23.823419,24.868554,25.1,3.0,2.0,0.0
23.823419,24.86831,25.1,3.0,2.0,0.0
23.823419,24.867852,25.1,3.0,2.0,0.0
23.823815,24.867852,25.1,3.0,2.0,0.0
23.823754,24.868554,25.1,3.0,2.0,0.0
23.823876,24.867944,25.1,3.0,2.0,0.0
23.823876,24.868218,25.1,3.0,2.0,0.0
23.823571,24.867089,25.1,3.0,2.0,0.0
23.823815,24.867089,25.1,3.0,2.0,0.0
23.824304,24.867791,25.1,3.0,2.0,0.0
23.823754,24.866448,25.1,3.0,2.0,0.0
23.824029,24.869195,25.1,3.0,2.0,0.0
23.824029,24.868524,25.1,3.0,2.0,0.0
23.826776,24.868524,25.1,3.0,2.0,0.0
23.824243,24.868096,25.1,3.0,2.0,0.0
23.824792,24.868402,25.1,3.0,2.0,0.0
23.823205,24.869134,25.1,3.0,2.0,0.0
23.823205,24.868035,25.1,3.0,2.0,0.0
23.824792,24.868035,25.1,3.0,2.0,0.0
23.823205,24.868524,25.1,3.0,2.0,0.0
23.824548,24.869409,25.1,3.0,2.0,0.0
23.823754,24.867791,25.1,3.0,2.0,0.0
23.823754,24.868432,25.1,3.0,2.0,0.0
23.825311,24.868432,25.1,3.0,2.0,0.0
23.825311,24.868096,25.1,3.0,2.0,0.0
23.827386,24.868218,25.1,3.0,2.0,0.0
23.825891,24.868951,25.1,3.0,2.0,0.0
23.825891,24.869348,25.1,3.0,2.0,0.0
23.826135,24.869348,25.1,3.0,2.0,0.0
23.825158,24.869622,25.1,3.0,2.0,0.0
23.823999,24.86889,25.1,3.0,2.0,0.0
23.82525,24.868951,25.1,3.0,2.0,0.0
23.82525,24.868981,25.1,3.0,2.0,0.0
23.824792,24.868981,25.1,3.0,2.0,0.0
23.82647,24.87008,25.1,3.0,2.0,0.0
23.825341,24.869195,25.1,3.0,2.0,0.0
23.824334,24.869348,25.1,3.0,2.0,0.0
23.824334,24.870446,25.1,3.0,2.0,0.0
23.825128,24.870446,25.1,3.0,2.0,0.0
23.825372,24.871026,25.1,3.0,2.0,0.0
23.825158,24.86947,25.1,3.0,2.0,0.0
23.825952,24.870294,25.1,3.0,2.0,0.0
23.825952,24.867944,25.1,3.0,2.0,0.0
23.826745,24.867944,25.1,3.0,2.0,0.0
23.826104,24.871057,25.1,3.0,2.0,0.0
23.824975,24.868951,25.1,3.0,2.0,0.0
23.826928,24.870263,25.1,3.0,2.0,0.0
23.826928,24.870996,25.1,3.0,2.0,0.0
23.824151,24.870996,25.1,3.0,2.0,0.0
23.824761,24.869439,25.1,3.0,2.0,0.0
23.824548,24.87005,25.1,3.0,2.0,0.0
23.825372,24.870233,25.1,3.0,2.0,0.0
23.825372,24.871057,25.1,3.0,2.0,0.0
23.827233,24.871057,25.1,3.0,2.0,0.0
23.827081,24.869897,25.1,3.0,2.0,0.0
23.825891,24.870599,25.1,3.0,2.0,0.0
23.826562,24.869805,25.1,3.0,2.0,0.0
23.826562,24.871575,25.1,3.0,2.0,0.0
23.825677,24.871575,25.1,3.0,2.0,0.0
23.826074,24.871118,25.1,3.0,2.0,0.0
23.825952,24.87005,25.1,3.0,2.0,0.0
23.825494,24.870721,25.1,3.0,2.0,0.0
23.825494,24.869409,25.1,3.0,2.0,0.0
23.826257,24.869409,25.1,3.0,2.0,0.0
23.826928,24.869897,25.1,3.0,2.0,0.0
23.826257,24.871026,25.1,3.0,2.0,0.0
23.826806,24.870111,25.1,3.0,2.0,0.0
23.826806,24.871636,25.1,3.0,2.0,0.0
23.828057,24.871636,25.1,3.0,2.0,0.0
23.826562,24.871026,25.1,3.0,2.0,0.0
23.827416,24.869958,25.1,3.0,2.0,0.0
23.826623,24.871026,25.1,3.0,2.0,0.0
23.826623,24.870263,25.1,3.0,2.0,0.0
23.827233,24.870263,25.1,3.0,2.0,0.0
23.826104,24.871484,25.1,3.0,2.0,0.0
23.826745,24.871942,25.1,3.0,2.0,0.0
23.827264,24.870355,25.1,3.0,2.0,0.0
23.827264,24.871636,25.1,3.0,2.0,0.0
23.827233,24.871636,25.1,3.0,2.0,0.0
23.827722,24.870477,25.1,3.0,2.0,0.0
23.82702,24.870935,25.1,3.0,2.0,0.0
23.826928,24.870812,25.1,3.0,2.0,0.0
23.826928,24.872033,25.1,3.0,2.0,0.0
23.826959,24.872033,25.1,3.0,2.0,0.0
23.827508,24.871362,25.1,3.0,2.0,0.0
23.827203,24.872796,25.1,3.0,2.0,0.0
23.826623,24.87243,25.1,3.0,2.0,0.0
23.827203,24.871636,25.1,3.0,2.0,0.0
23.827203,24.871636,25.1,3.0,2.0,0.0
23.82702,24.871301,25.1,3.0,2.0,0.0
23.826776,24.871697,25.1,3.0,2.0,0.0
23.829278,24.870111,25.1,3.0,2.0,0.0
23.826562,24.872613,25.1,3.0,2.0,0.0
23.826562,24.872613,25.1,3.0,2.0,0.0
23.828515,24.872399,25.1,3.0,2.0,0.0
23.828942,24.871636,25.1,3.0,2.0,0.0
23.82702,24.871118,25.1,3.0,2.0,0.0
23.828454,24.871636,25.1,3.0,2.0,0.0
23.828454,24.871636,25.1,3.0,2.0,0.0
23.829461,24.872094,25.1,3.0,2.0,0.0
23.827691,24.871392,25.1,3.0,2.0,0.0
23.827752,24.871667,25.1,3.0,2.0,0.0
23.8294,24.872155,25.1,3.0,2.0,0.0
23.8294,24.872155,25.1,3.0,2.0,0.0
23.82702,24.874291,25.1,3.0,2.0,0.0
23.829278,24.872125,25.1,3.0,2.0,0.0
23.828149,24.872796,25.1,3.0,2.0,0.0
23.829278,24.872247,25.1,3.0,2.0,0.0
23.829278,24.872247,25.1,3.0,2.0,0.0
23.828454,24.872857,25.1,3.0,2.0,0.0
23.828393,24.872613,25.1,3.0,2.0,0.0
23.826928,24.872705,25.1,3.0,2.0,0.0
23.829034,24.872796,25.1,3.0,2.0,0.0
23.829034,24.872796,25.1,3.0,2.0,0.0
23.828942,24.872155,25.1,3.0,2.0,0.0
23.828576,24.871789,25.1,3.0,2.0,0.0
23.827813,24.873559,25.1,3.0,2.0,0.0
23.829003,24.87243,25.1,3.0,2.0,0.0
23.829003,24.873712,25.1,3.0,2.0,0.0
23.829156,24.873712,25.1,3.0,2.0,0.0
23.829858,24.872094,25.1,3.0,2.0,0.0
23.829217,24.872399,25.1,3.0,2.0,0.0
23.828851,24.87246,25.1,3.0,2.0,0.0
23.828851,24.873254,25.1,3.0,2.0,0.0
23.829309,24.873254,25.1,3.0,2.0,0.0
23.829766,24.873834,25.1,3.0,2.0,0.0
23.828637,24.873437,25.1,3.0,2.0,0.0
23.829156,24.8742,25.1,3.0,2.0,0.0
23.829156,24.872888,25.1,3.0,2.0,0.0
23.828454,24.872888,25.1,3.0,2.0,0.0
23.828546,24.872308,25.1,3.0,2.0,0.0
23.829888,24.872125,25.1,3.0,2.0,0.0
23.829797,24.87362,25.1,3.0,2.0,0.0
23.829797,24.873803,25.1,3.0,2.0,0.0
23.831109,24.873803,25.1,3.0,2.0,0.0
23.829095,24.872613,25.1,3.0,2.0,0.0
23.830621,24.87246,25.1,3.0,2.0,0.0
23.828759,24.873895,25.1,3.0,2.0,0.0
23.828759,24.873345,25.1,3.0,2.0,0.0
23.829888,24.873345,25.1,3.0,2.0,0.0
23.829949,24.873986,25.1,3.0,2.0,0.0
23.829339,24.873254,25.1,3.0,2.0,0.0
23.830224,24.874749,25.1,3.0,2.0,0.0
23.830224,24.874475,25.1,3.0,2.0,0.0
23.828851,24.874475,25.1,3.0,2.0,0.0
23.828759,24.872857,25.1,3.0,2.0,0.0
23.829888,24.874475,25.1,3.0,2.0,0.0
23.830133,24.873345,25.1,3.0,2.0,0.0
23.830133,24.873712,25.1,3.0,2.0,0.0
23.829278,24.873712,25.1,3.0,2.0,0.0
23.829858,24.874719,25.1,3.0,2.0,0.0
23.830834,24.874719,25.1,3.0,2.0,0.0
23.831018,24.874841,25.1,3.0,2.0,0.0
23.830438,24.874566,25.1,3.0,2.0,0.0
23.829644,24.875238,25.1,3.0,2.0,0.0
23.830804,24.875024,25.1,3.0,2.0,0.0
23.831109,24.873345,25.1,3.0,2.0,0.0
23.82882,24.874078,25.1,3.0,2.0,0.0
23.82882,24.874078,25.1,3.0,2.0,0.0
23.830163,24.874932,25.1,3.0,2.0,0.0
23.830895,24.876184,25.1,3.0,2.0,0.0
23.83001,24.874017,25.1,3.0,2.0,0.0
23.829797,24.873559,25.1,3.0,2.0,0.0
23.829797,24.873559,25.1,3.0,2.0,0.0
23.831201,24.874963,25.1,3.0,2.0,0.0
23.830712,24.87536,25.1,3.0,2.0,0.0
23.830957,24.873895,25.1,3.0,2.0,0.0
23.831536,24.874475,25.1,3.0,2.0,0.0
23.831536,24.874475,25.1,3.0,2.0,0.0
23.830926,24.875268,25.1,3.0,2.0,0.0
23.830957,24.874475,25.1,3.0,2.0,0.0
23.831384,24.874291,25.1,3.0,2.0,0.0
23.831292,24.875482,25.1,3.0,2.0,0.0
23.831292,24.875482,25.1,3.0,2.0,0.0
23.831567,24.874932,25.1,3.0,2.0,0.0
23.830255,24.874841,25.1,3.0,2.0,0.0
23.831109,24.875177,25.1,3.0,2.0,0.0
23.830712,24.875817,25.1,3.0,2.0,0.0
23.830712,24.875817,25.1,3.0,2.0,0.0
23.830895,24.876123,25.1,3.0,2.0,0.0
23.832208,24.874261,25.1,3.0,2.0,0.0
23.832238,24.876245,25.1,3.0,2.0,0.0
23.832208,24.874383,25.1,3.0,2.0,0.0
23.832208,24.874383,25.1,3.0,2.0,0.0
23.830926,24.876214,25.1,3.0,2.0,0.0
23.830834,24.87536,25.1,3.0,2.0,0.0
23.833795,24.876306,25.1,3.0,2.0,0.0
23.831353,24.875726,25.1,3.0,2.0,0.0
23.831353,24.875726,25.1,3.0,2.0,0.0
23.830438,24.875817,25.1,3.0,2.0,0.0
23.832238,24.874536,25.1,3.0,2.0,0.0
23.831292,24.876702,25.1,3.0,2.0,0.0
23.831353,24.876245,25.1,3.0,2.0,0.0
23.831353,24.876245,25.1,3.0,2.0,0.0
23.833337,24.875238,25.1,3.0,2.0,0.0
23.833398,24.877069,25.1,3.0,2.0,0.0
23.833093,24.874566,25.1,3.0,2.0,0.0
23.832238,24.876336,25.1,3.0,2.0,0.0
23.832238,24.876336,25.1,3.0,2.0,0.0
23.831353,24.876489,25.1,3.0,2.0,0.0
23.832055,24.875115,25.1,3.0,2.0,0.0
23.832208,24.874932,25.1,3.0,2.0,0.0
23.832269,24.875665,25.1,3.0,2.0,0.0
23.832269,24.875665,25.1,3.0,2.0,0.0
23.832269,24.87713,25.1,3.0,2.0,0.0
23.831262,24.875573,25.1,3.0,2.0,0.0
23.83352,24.876885,25.1,3.0,2.0,0.0
23.832879,24.877099,25.1,3.0,2.0,0.0
23.832879,24.877099,25.1,3.0,2.0,0.0
23.832879,24.876428,25.1,3.0,2.0,0.0
23.834008,24.877587,25.1,3.0,2.0,0.0
23.833398,24.877099,25.1,3.0,2.0,0.0
23.832971,24.876977,25.1,3.0,2.0,0.0
23.832971,24.876977,25.1,3.0,2.0,0.0
23.833642,24.876397,25.1,3.0,2.0,0.0
23.831933,24.87774,25.1,3.0,2.0,0.0
23.8341,24.876184,25.1,3.0,2.0,0.0
23.831933,24.877618,25.1,3.0,2.0,0.0
23.831933,24.877618,25.1,3.0,2.0,0.0
23.832421,24.875604,25.1,3.0,2.0,0.0
23.833734,24.877618,25.1,3.0,2.0,0.0
23.833978,24.877526,25.1,3.0,2.0,0.0
23.833001,24.876184,25.1,3.0,2.0,0.0
23.833001,24.876184,25.1,3.0,2.0,0.0
23.832482,24.877252,25.1,3.0,2.0,0.0
23.832574,24.876489,25.1,3.0,2.0,0.0
23.833703,24.878533,25.1,3.0,2.0,0.0
23.833337,24.877801,25.1,3.0,2.0,0.0
23.833337,24.877801,25.1,3.0,2.0,0.0
23.833825,24.877343,25.1,3.0,2.0,0.0
23.834039,24.878259,25.1,3.0,2.0,0.0
23.832513,24.877801,25.1,3.0,2.0,0.0
23.833093,24.876885,25.1,3.0,2.0,0.0
23.834313,24.876885,25.1,3.0,2.0,0.0
23.834313,24.877801,25.1,3.0,2.0,0.0
23.833856,24.878015,25.1,3.0,2.0,0.0
23.834191,24.877984,25.1,3.0,2.0,0.0
23.834466,24.876763,25.1,3.0,2.0,0.0
23.833917,24.876763,25.1,3.0,2.0,0.0
23.833917,24.877282,25.1,3.0,2.0,0.0
23.833489,24.878076,25.1,3.0,2.0,0.0
23.833978,24.877282,25.1,3.0,2.0,0.0
23.835351,24.878259,25.1,3.0,2.0,0.0
23.835351,24.878259,25.1,3.0,2.0,0.0
23.835351,24.878808,25.1,3.0,2.0,0.0
23.834222,24.878503,25.1,3.0,2.0,0.0
23.833825,24.877069,25.1,3.0,2.0,0.0
23.833734,24.877465,25.1,3.0,2.0,0.0
23.834375,24.877465,25.1,3.0,2.0,0.0
23.834375,24.878259,25.1,3.0,2.0,0.0
23.834771,24.878747,25.1,3.0,2.0,0.0
23.835107,24.879205,25.1,3.0,2.0,0.0
23.834222,24.878076,25.1,3.0,2.0,0.0
23.834924,24.878076,25.1,3.0,2.0,0.0
23.834924,24.879022,25.1,3.0,2.0,0.0
23.834558,24.877893,25.1,3.0,2.0,0.0
23.834924,24.879266,25.1,3.0,2.0,0.0
23.835534,24.878167,25.1,3.0,2.0,0.0
23.834466,24.878167,25.1,3.0,2.0,0.0
23.834466,24.879296,25.1,3.0,2.0,0.0
23.834619,24.878991,25.1,3.0,2.0,0.0
23.833734,24.878991,25.1,3.0,2.0,0.0
23.836236,24.878167,25.1,3.0,2.0,0.0
23.835107,24.878167,25.1,3.0,2.0,0.0
23.835107,24.879785,25.1,3.0,2.0,0.0
23.835443,24.878625,25.1,3.0,2.0,0.0
23.836358,24.879907,25.1,3.0,2.0,0.0
23.835229,24.878106,25.1,3.0,2.0,0.0
23.836236,24.878106,25.1,3.0,2.0,0.0
23.836236,24.879388,25.1,3.0,2.0,0.0
23.835229,24.880364,25.1,3.0,2.0,0.0
23.834985,24.878808,25.1,3.0,2.0,0.0
23.836114,24.879296,25.1,3.0,2.0,0.0
23.834191,24.879296,25.1,3.0,2.0,0.0
23.834191,24.87893,25.1,3.0,2.0,0.0
23.835137,24.877862,25.1,3.0,2.0,0.0
23.8359,24.878686,25.1,3.0,2.0,0.0
23.835351,24.879327,25.1,3.0,2.0,0.0
23.837365,24.879327,25.1,3.0,2.0,0.0
23.837365,24.878625,25.1,3.0,2.0,0.0
23.836907,24.879479,25.1,3.0,2.0,0.0
23.834649,24.880395,25.1,3.0,2.0,0.0
23.837213,24.881829,25.1,3.0,2.0,0.0
23.836358,24.881829,25.1,3.0,2.0,0.0
23.836358,24.880059,25.1,3.0,2.0,0.0
23.8359,24.879479,25.1,3.0,2.0,0.0
23.834558,24.879663,25.1,3.0,2.0,0.0
23.836297,24.880426,25.1,3.0,2.0,0.0
